DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20200126,2020-01-26,Sun,January,Jan,1,1,2020
20200127,2020-01-27,Mon,January,Jan,1,1,2020
20200128,2020-01-28,Tue,January,Jan,1,1,2020
20200129,2020-01-29,Wed,January,Jan,1,1,2020
20200130,2020-01-30,Thu,January,Jan,1,1,2020
20200131,2020-01-31,Fri,January,Jan,1,1,2020
20200201,2020-02-01,Sat,February,Feb,2,1,2020
20200202,2020-02-02,Sun,February,Feb,2,1,2020
20200203,2020-02-03,Mon,February,Feb,2,1,2020
20200204,2020-02-04,Tue,February,Feb,2,1,2020
20200205,2020-02-05,Wed,February,Feb,2,1,2020
20200206,2020-02-06,Thu,February,Feb,2,1,2020
20200207,2020-02-07,Fri,February,Feb,2,1,2020
20200208,2020-02-08,Sat,February,Feb,2,1,2020
20200209,2020-02-09,Sun,February,Feb,2,1,2020
20200210,2020-02-10,Mon,February,Feb,2,1,2020
20200211,2020-02-11,Tue,February,Feb,2,1,2020
20200212,2020-02-12,Wed,February,Feb,2,1,2020
20200213,2020-02-13,Thu,February,Feb,2,1,2020
20200214,2020-02-14,Fri,February,Feb,2,1,2020
20200215,2020-02-15,Sat,February,Feb,2,1,2020
20200216,2020-02-16,Sun,February,Feb,2,1,2020
20200217,2020-02-17,Mon,February,Feb,2,1,2020
20200218,2020-02-18,Tue,February,Feb,2,1,2020
20200219,2020-02-19,Wed,February,Feb,2,1,2020
20200220,2020-02-20,Thu,February,Feb,2,1,2020
20200221,2020-02-21,Fri,February,Feb,2,1,2020
20200222,2020-02-22,Sat,February,Feb,2,1,2020
20200223,2020-02-23,Sun,February,Feb,2,1,2020
20200224,2020-02-24,Mon,February,Feb,2,1,2020
20200225,2020-02-25,Tue,February,Feb,2,1,2020
20200226,2020-02-26,Wed,February,Feb,2,1,2020
20200227,2020-02-27,Thu,February,Feb,2,1,2020
20200228,2020-02-28,Fri,February,Feb,2,1,2020
20200229,2020-02-29,Sat,February,Feb,2,1,2020
20200301,2020-03-01,Sun,March,Mar,3,1,2020
20200302,2020-03-02,Mon,March,Mar,3,1,2020
20200303,2020-03-03,Tue,March,Mar,3,1,2020
20200304,2020-03-04,Wed,March,Mar,3,1,2020
20200305,2020-03-05,Thu,March,Mar,3,1,2020
20200306,2020-03-06,Fri,March,Mar,3,1,2020
20200307,2020-03-07,Sat,March,Mar,3,1,2020
20200308,2020-03-08,Sun,March,Mar,3,1,2020
20200309,2020-03-09,Mon,March,Mar,3,1,2020
20200310,2020-03-10,Tue,March,Mar,3,1,2020
20200311,2020-03-11,Wed,March,Mar,3,1,2020
20200312,2020-03-12,Thu,March,Mar,3,1,2020
20200313,2020-03-13,Fri,March,Mar,3,1,2020
20200314,2020-03-14,Sat,March,Mar,3,1,2020
20200315,2020-03-15,Sun,March,Mar,3,1,2020
20200316,2020-03-16,Mon,March,Mar,3,1,2020
20200317,2020-03-17,Tue,March,Mar,3,1,2020
20200318,2020-03-18,Wed,March,Mar,3,1,2020
20200319,2020-03-19,Thu,March,Mar,3,1,2020
20200320,2020-03-20,Fri,March,Mar,3,1,2020
20200321,2020-03-21,Sat,March,Mar,3,1,2020
20200322,2020-03-22,Sun,March,Mar,3,1,2020
20200323,2020-03-23,Mon,March,Mar,3,1,2020
20200324,2020-03-24,Tue,March,Mar,3,1,2020
20200325,2020-03-25,Wed,March,Mar,3,1,2020
20200326,2020-03-26,Thu,March,Mar,3,1,2020
20200327,2020-03-27,Fri,March,Mar,3,1,2020
20200328,2020-03-28,Sat,March,Mar,3,1,2020
20200329,2020-03-29,Sun,March,Mar,3,1,2020
20200330,2020-03-30,Mon,March,Mar,3,1,2020
20200331,2020-03-31,Tue,March,Mar,3,1,2020
20200401,2020-04-01,Wed,April,Apr,4,2,2020
20200402,2020-04-02,Thu,April,Apr,4,2,2020
20200403,2020-04-03,Fri,April,Apr,4,2,2020
20200404,2020-04-04,Sat,April,Apr,4,2,2020
20200405,2020-04-05,Sun,April,Apr,4,2,2020
20200406,2020-04-06,Mon,April,Apr,4,2,2020
20200407,2020-04-07,Tue,April,Apr,4,2,2020
20200408,2020-04-08,Wed,April,Apr,4,2,2020
20200409,2020-04-09,Thu,April,Apr,4,2,2020
20200410,2020-04-10,Fri,April,Apr,4,2,2020
20200411,2020-04-11,Sat,April,Apr,4,2,2020
